"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.18658e+06,919863,154983,192383,155255,140460,2140.1,-5318.99,1.911e+06,41239.6,2739.41,4362.01,6444.02,14.7543
1.61669e+06,1.33841e+06,237293,429518,360538,202471,2279.88,-6464.17,2.1503e+06,28453.3,7353.38,4566.72,7123.92,14.7931
1.42532e+06,1.10594e+06,135666,181015,151217,128634,2011.65,-4388.92,1.83163e+06,25877.4,2256.68,3888.65,5513.16,14.827
1.58684e+06,1.23874e+06,230028,311722,275582,216763,1815.47,-3662.65,1.66694e+06,23208.5,1705.49,3525.72,5626.24,14.8411
1.71167e+06,1.43999e+06,195064,317332,314390,193329,1878.34,-4502.28,1.91192e+06,37010.5,3683.16,4762.04,6287.26,14.8623
1.62706e+06,1.25225e+06,250501,617707,580214,237987,2393.25,-5997.26,2.09658e+06,63967.3,3804.72,5940,7358.56,14.8772
1.71842e+06,1.45626e+06,282975,605546,584305,266068,2172.56,-5738.15,2.61743e+06,43828.6,5005.86,5211.85,9119.64,15.0636
1.40188e+06,1.12074e+06,89409.9,116309,101204,86190,2056.35,-5240.48,1.78767e+06,41274,-1300.02,2613.88,4318.76,15.1825
1.56117e+06,1.2595e+06,125561,194967,175859,119386,3553.75,-6707.74,2.16055e+06,29149.2,350.083,2464.49,6431.89,15.3225
1.33419e+06,1.02158e+06,187303,245474,200601,171259,1819.36,-4997.48,1.99734e+06,24319.4,-48.8779,4019.88,6049.97,15.4947
1.50673e+06,1.1439e+06,125197,148870,121332,116615,1708.14,-3321.45,2.96117e+06,36932.3,-1469.57,2448.81,8251.59,15.4999
